+----------------------+-----------+------+------+--------------+-------------+
| modelname            | thickness | dvs  | drho | criticalDist | awayFromCMB |
| Lamella_201500000208 |        25 |    5 |   10 |       69.957 |           5 |
| Lamella_201500000209 |        25 |   10 |   -5 |      60.8911 |           5 |
| Lamella_201500000210 |        25 |   10 |    0 |      60.8911 |           5 |
| Lamella_201500000211 |        25 |   10 |    5 |      60.8911 |           5 |
| Lamella_201500000212 |        25 |   10 |   10 |      60.8911 |           5 |
| Lamella_201500000213 |        25 |   15 |   -5 |      54.8203 |           5 |
| Lamella_201500000214 |        25 |   15 |    0 |      54.8203 |           5 |
| Lamella_201500000215 |        25 |   15 |    5 |      54.8203 |           5 |
| Lamella_201500000216 |        25 |   15 |   10 |      54.8203 |           5 |
| Lamella_201500000217 |        25 |   20 |   -5 |      50.2905 |           5 |
| Lamella_201500000218 |        25 |   20 |    0 |      50.2905 |           5 |
| Lamella_201500000219 |        25 |   20 |    5 |      50.2905 |           5 |
| Lamella_201500000220 |        25 |   20 |   10 |      50.2905 |           5 |
| Lamella_201500000221 |        30 |  -30 |   -5 |          100 |           5 |
| Lamella_201500000222 |        30 |  -30 |    0 |          100 |           5 |
| Lamella_201500000223 |        30 |  -30 |    5 |          100 |           5 |
| Lamella_201500000224 |        30 |  -30 |   10 |          100 |           5 |
| Lamella_201500000225 |        30 |  -25 |   -5 |          100 |           5 |
| Lamella_201500000226 |        30 |  -25 |    0 |          100 |           5 |
| Lamella_201500000227 |        30 |  -25 |    5 |          100 |           5 |
| Lamella_201500000228 |        30 |  -25 |   10 |          100 |           5 |
| Lamella_201500000229 |        30 |  -20 |   -5 |          100 |           5 |
| Lamella_201500000230 |        30 |  -20 |    0 |          100 |           5 |
| Lamella_201500000231 |        30 |  -20 |    5 |          100 |           5 |
| Lamella_201500000232 |        30 |  -20 |   10 |          100 |           5 |
| Lamella_201500000233 |        30 |  -15 |   -5 |          100 |           5 |
| Lamella_201500000234 |        30 |  -15 |    0 |          100 |           5 |
| Lamella_201500000235 |        30 |  -15 |    5 |          100 |           5 |
| Lamella_201500000236 |        30 |  -15 |   10 |          100 |           5 |
| Lamella_201500000237 |        30 |  -10 |   -5 |          100 |           5 |
| Lamella_201500000238 |        30 |  -10 |    0 |          100 |           5 |
| Lamella_201500000239 |        30 |  -10 |    5 |          100 |           5 |
| Lamella_201500000240 |        30 |  -10 |   10 |          100 |           5 |
| Lamella_201500000241 |        30 |   -5 |   -5 |          100 |           5 |
| Lamella_201500000242 |        30 |   -5 |    0 |          100 |           5 |
| Lamella_201500000243 |        30 |   -5 |    5 |          100 |           5 |
| Lamella_201500000244 |        30 |   -5 |   10 |          100 |           5 |
| Lamella_201500000245 |        30 |    0 |   -5 |          100 |           5 |
| Lamella_201500000246 |        30 |    0 |    0 |          100 |           5 |
| Lamella_201500000247 |        30 |    0 |    5 |          100 |           5 |
| Lamella_201500000248 |        30 |    0 |   10 |          100 |           5 |
| Lamella_201500000249 |        30 |    5 |   -5 |      69.8754 |           5 |
| Lamella_201500000250 |        30 |    5 |    0 |      69.8754 |           5 |
| Lamella_201500000251 |        30 |    5 |    5 |      69.8754 |           5 |
| Lamella_201500000252 |        30 |    5 |   10 |      69.8754 |           5 |
| Lamella_201500000253 |        30 |   10 |   -5 |       60.725 |           5 |
| Lamella_201500000254 |        30 |   10 |    0 |       60.725 |           5 |
| Lamella_201500000255 |        30 |   10 |    5 |       60.725 |           5 |
| Lamella_201500000256 |        30 |   10 |   10 |       60.725 |           5 |
| Lamella_201500000257 |        30 |   15 |   -5 |      54.6839 |           5 |
| Lamella_201500000258 |        30 |   15 |    0 |      54.6839 |           5 |
| Lamella_201500000259 |        30 |   15 |    5 |      54.6839 |           5 |
| Lamella_201500000260 |        30 |   15 |   10 |      54.6839 |           5 |
| Lamella_201500000261 |        30 |   20 |   -5 |      50.1734 |           5 |
| Lamella_201500000262 |        30 |   20 |    0 |      50.1734 |           5 |
| Lamella_201500000263 |        30 |   20 |    5 |      50.1734 |           5 |
| Lamella_201500000264 |        30 |   20 |   10 |      50.1734 |           5 |
| Lamella_201500000265 |         5 |  -30 |   -5 |          100 |          10 |
| Lamella_201500000266 |         5 |  -30 |    0 |          100 |          10 |
| Lamella_201500000267 |         5 |  -30 |    5 |          100 |          10 |
| Lamella_201500000268 |         5 |  -30 |   10 |          100 |          10 |
| Lamella_201500000269 |         5 |  -25 |   -5 |          100 |          10 |
| Lamella_201500000270 |         5 |  -25 |    0 |          100 |          10 |
| Lamella_201500000271 |         5 |  -25 |    5 |          100 |          10 |
| Lamella_201500000272 |         5 |  -25 |   10 |          100 |          10 |
| Lamella_201500000273 |         5 |  -20 |   -5 |          100 |          10 |
| Lamella_201500000274 |         5 |  -20 |    0 |          100 |          10 |
| Lamella_201500000275 |         5 |  -20 |    5 |          100 |          10 |
| Lamella_201500000276 |         5 |  -20 |   10 |          100 |          10 |
| Lamella_201500000277 |         5 |  -15 |   -5 |          100 |          10 |
| Lamella_201500000278 |         5 |  -15 |    0 |          100 |          10 |
| Lamella_201500000279 |         5 |  -15 |    5 |          100 |          10 |
| Lamella_201500000280 |         5 |  -15 |   10 |          100 |          10 |
| Lamella_201500000281 |         5 |  -10 |   -5 |          100 |          10 |
| Lamella_201500000282 |         5 |  -10 |    0 |          100 |          10 |
| Lamella_201500000283 |         5 |  -10 |    5 |          100 |          10 |
| Lamella_201500000284 |         5 |  -10 |   10 |          100 |          10 |
| Lamella_201500000285 |         5 |   -5 |   -5 |          100 |          10 |
| Lamella_201500000286 |         5 |   -5 |    0 |          100 |          10 |
| Lamella_201500000287 |         5 |   -5 |    5 |          100 |          10 |
| Lamella_201500000288 |         5 |   -5 |   10 |          100 |          10 |
| Lamella_201500000289 |         5 |    0 |   -5 |          100 |          10 |
| Lamella_201500000290 |         5 |    0 |    0 |          100 |          10 |
| Lamella_201500000291 |         5 |    0 |    5 |          100 |          10 |
| Lamella_201500000292 |         5 |    0 |   10 |          100 |          10 |
| Lamella_201500000293 |         5 |    5 |   -5 |      70.4824 |          10 |
| Lamella_201500000294 |         5 |    5 |    0 |      70.4824 |          10 |
| Lamella_201500000295 |         5 |    5 |    5 |      70.4824 |          10 |
| Lamella_201500000296 |         5 |    5 |   10 |      70.4824 |          10 |
| Lamella_201500000297 |         5 |   10 |   -5 |      61.2925 |          10 |
| Lamella_201500000298 |         5 |   10 |    0 |      61.2925 |          10 |
| Lamella_201500000299 |         5 |   10 |    5 |      61.2925 |          10 |
| Lamella_201500000300 |         5 |   10 |   10 |      61.2925 |          10 |
| Lamella_201500000301 |         5 |   15 |   -5 |      55.1527 |          10 |
| Lamella_201500000302 |         5 |   15 |    0 |      55.1527 |          10 |
| Lamella_201500000303 |         5 |   15 |    5 |      55.1527 |          10 |
| Lamella_201500000304 |         5 |   15 |   10 |      55.1527 |          10 |
| Lamella_201500000305 |         5 |   20 |   -5 |      50.5759 |          10 |
| Lamella_201500000306 |         5 |   20 |    0 |      50.5759 |          10 |
| Lamella_201500000307 |         5 |   20 |    5 |      50.5759 |          10 |
| Lamella_201500000308 |         5 |   20 |   10 |      50.5759 |          10 |
| Lamella_201500000309 |        10 |  -30 |   -5 |          100 |          10 |
| Lamella_201500000310 |        10 |  -30 |    0 |          100 |          10 |
| Lamella_201500000311 |        10 |  -30 |    5 |          100 |          10 |
| Lamella_201500000312 |        10 |  -30 |   10 |          100 |          10 |
| Lamella_201500000313 |        10 |  -25 |   -5 |          100 |          10 |
| Lamella_201500000314 |        10 |  -25 |    0 |          100 |          10 |
| Lamella_201500000315 |        10 |  -25 |    5 |          100 |          10 |
| Lamella_201500000316 |        10 |  -25 |   10 |          100 |          10 |
| Lamella_201500000317 |        10 |  -20 |   -5 |          100 |          10 |
| Lamella_201500000318 |        10 |  -20 |    0 |          100 |          10 |
| Lamella_201500000319 |        10 |  -20 |    5 |          100 |          10 |
| Lamella_201500000320 |        10 |  -20 |   10 |          100 |          10 |
| Lamella_201500000321 |        10 |  -15 |   -5 |          100 |          10 |
| Lamella_201500000322 |        10 |  -15 |    0 |          100 |          10 |
| Lamella_201500000323 |        10 |  -15 |    5 |          100 |          10 |
| Lamella_201500000324 |        10 |  -15 |   10 |          100 |          10 |
| Lamella_201500000325 |        10 |  -10 |   -5 |          100 |          10 |
| Lamella_201500000326 |        10 |  -10 |    0 |          100 |          10 |
| Lamella_201500000327 |        10 |  -10 |    5 |          100 |          10 |
| Lamella_201500000328 |        10 |  -10 |   10 |          100 |          10 |
| Lamella_201500000329 |        10 |   -5 |   -5 |          100 |          10 |
| Lamella_201500000330 |        10 |   -5 |    0 |          100 |          10 |
| Lamella_201500000331 |        10 |   -5 |    5 |          100 |          10 |
| Lamella_201500000332 |        10 |   -5 |   10 |          100 |          10 |
| Lamella_201500000333 |        10 |    0 |   -5 |          100 |          10 |
| Lamella_201500000334 |        10 |    0 |    0 |          100 |          10 |
| Lamella_201500000335 |        10 |    0 |    5 |          100 |          10 |
| Lamella_201500000336 |        10 |    0 |   10 |          100 |          10 |
| Lamella_201500000337 |        10 |    5 |   -5 |       70.404 |          10 |
| Lamella_201500000338 |        10 |    5 |    0 |       70.404 |          10 |
| Lamella_201500000339 |        10 |    5 |    5 |       70.404 |          10 |
| Lamella_201500000340 |        10 |    5 |   10 |       70.404 |          10 |
| Lamella_201500000341 |        10 |   10 |   -5 |      61.1272 |          10 |
| Lamella_201500000342 |        10 |   10 |    0 |      61.1272 |          10 |
| Lamella_201500000343 |        10 |   10 |    5 |      61.1272 |          10 |
| Lamella_201500000344 |        10 |   10 |   10 |      61.1272 |          10 |
| Lamella_201500000345 |        10 |   15 |   -5 |      55.0929 |          10 |
| Lamella_201500000346 |        10 |   15 |    0 |      55.0929 |          10 |
| Lamella_201500000347 |        10 |   15 |    5 |      55.0929 |          10 |
| Lamella_201500000348 |        10 |   15 |   10 |      55.0929 |          10 |
| Lamella_201500000349 |        10 |   20 |   -5 |      50.4593 |          10 |
| Lamella_201500000350 |        10 |   20 |    0 |      50.4593 |          10 |
